Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
computeHistogram,Video4,./data/Video4/Chess4.png and 9 others,3,0.9870147705078125,8.163577957829047e-05,0.9875679016113281,0.9741592407226562,0.9897041320800781,0.9772586822509766,1.0074138641357422,0.9924697875976562,0.9860420227050781,0.9833717346191406,0.9845161437988281,0.9876441955566406,25.36,15.060444444444448,20.0,22.2,27.3,27.3,27.3,20.0,27.3,30.0,22.2,30.0,24.38,0.18400000000000025,23.2,24.4,24.4,24.5,24.8,24.5,24.5,24.5,24.5,24.5
computeCanny,Video4,./data/Video4/Chess4.png and 9 others,3,6.753961563110352,0.05135546503071156,6.979875564575195,7.183237075805664,6.93821907043457,6.7254638671875,6.764965057373047,6.751279830932617,6.5528106689453125,6.603231430053711,6.619224548339844,6.421308517456055,82.32000000000001,0.519555555555555,82.9,82.9,81.4,81.2,82.9,82.4,82.8,81.5,82.1,83.1,24.33,0.16233333333333347,23.2,24.4,24.4,24.5,24.3,24.5,24.5,24.5,24.5,24.5
detectSift,Video4,./data/Video4/Chess4.png and 9 others,3,242.57140159606934,46.1555172604575,260.5745792388916,241.43290519714355,241.2722110748291,240.50498008728027,245.76067924499512,238.5096549987793,237.81132698059082,239.04776573181152,242.9354190826416,237.86449432373047,46.61,0.22766666666666546,46.6,46.3,46.9,45.7,46.9,46.8,46.2,47.4,46.4,46.9,24.37,0.0512222222222224,24.0,24.4,24.2,24.6,24.6,24.6,24.2,24.5,24.1,24.5
detectSurf,Video4,./data/Video4/Chess4.png and 9 others,3,349.5213985443115,64.91640018187657,361.1643314361572,348.37841987609863,360.8555793762207,352.3225784301758,337.71610260009766,342.9272174835205,344.57874298095703,354.13575172424316,352.27084159851074,340.8644199371338,99.22999999999999,0.0490000000000004,98.6,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,24.24,0.04488888888888898,24.0,24.1,24.2,24.8,24.2,24.2,24.2,24.2,24.2,24.3
goodFeatures,Video4,./data/Video4/Chess4.png and 9 others,3,24.881696701049805,9.266362290974131,31.313657760620117,24.254322052001953,25.6044864654541,18.658161163330078,24.286508560180664,24.164676666259766,25.493621826171875,24.164915084838867,25.473594665527344,25.40302276611328,31.03,16.122333333333327,23.1,33.3,30.0,37.5,30.0,30.0,30.0,36.4,30.0,30.0,24.419999999999998,0.024000000000000115,24.2,24.3,24.4,24.8,24.4,24.4,24.4,24.4,24.4,24.5
houghLine,Video4,./data/Video4/Chess4.png and 9 others,3,15.0054931640625,0.17408997084405403,15.706539154052734,15.131235122680664,15.188932418823242,15.171527862548828,15.235185623168945,15.374422073364258,14.571905136108398,14.650821685791016,14.579057693481445,14.445304870605469,42.91,30.781000000000006,40.0,50.0,33.3,50.0,42.9,50.0,40.0,40.0,42.9,40.0,24.419999999999998,0.024000000000000115,24.2,24.3,24.4,24.8,24.4,24.4,24.4,24.4,24.4,24.5
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,13.880634307861328,0.05786314179406165,13.560295104980469,13.915300369262695,13.9312744140625,13.925313949584961,13.509988784790039,14.291524887084961,13.782024383544922,14.181852340698242,13.900995254516602,13.80777359008789,30.639999999999997,31.4471111111111,33.3,33.3,33.3,33.3,33.3,33.3,33.3,20.0,33.3,20.0,24.57,0.0512222222222224,24.5,24.8,24.9,24.8,24.8,24.4,24.4,24.4,24.4,24.3
resize,Video2,./data/Video2/Gear3.png and 9 others,3,0.9425067901611328,0.00010978049734452118,0.9712696075439453,0.9411907196044922,0.9360313415527344,0.9380054473876953,0.9398269653320312,0.9389209747314453,0.9348678588867188,0.9384441375732422,0.9426307678222656,0.9438800811767578,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.509999999999998,0.05655555555555568,24.5,24.8,24.9,24.8,24.2,24.4,24.4,24.4,24.4,24.3
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,0.9722814559936523,3.8105856421882185e-05,0.9813499450683594,0.9651660919189453,0.9687232971191406,0.9780120849609375,0.9807205200195312,0.9677028656005859,0.9760570526123047,0.9691333770751953,0.9656143188476562,0.9703350067138672,26.17,20.253444444444444,22.2,20.0,27.3,22.2,30.0,30.0,30.0,20.0,30.0,30.0,24.509999999999998,0.05655555555555568,24.5,24.8,24.9,24.8,24.2,24.4,24.4,24.4,24.4,24.3
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,1.087453842163086,0.0004343105158315868,1.0886478424072266,1.0710906982421875,1.0726451873779297,1.0909461975097656,1.0741424560546875,1.0750389099121094,1.0769844055175781,1.125040054321289,1.0751056671142578,1.1248970031738281,27.17,9.90233333333333,27.3,27.3,20.0,27.3,33.3,27.3,27.3,27.3,27.3,27.3,24.509999999999998,0.05655555555555568,24.5,24.8,24.9,24.8,24.2,24.4,24.4,24.4,24.4,24.3
contour,Video2,./data/Video2/Gear3.png and 9 others,3,1.910177230834961,0.01242184284718759,1.886749267578125,2.0257949829101562,2.0069408416748047,1.842660903930664,1.6438770294189453,1.8896007537841797,1.9079208374023438,2.005910873413086,1.9254207611083984,1.9668960571289062,99.52,2.303999999999997,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.2,100.0,100.0,24.46,0.04933333333333331,24.5,24.3,24.9,24.8,24.2,24.4,24.4,24.4,24.4,24.3
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,0.6342916488647461,0.0014650583691238556,0.6245899200439453,0.6177902221679688,0.6301116943359375,0.61981201171875,0.6192684173583984,0.6134700775146484,0.6148338317871094,0.7416439056396484,0.6293201446533203,0.6320762634277344,26.77,43.32899999999999,28.6,20.0,33.3,28.6,16.7,16.7,33.3,33.3,28.6,28.6,24.46,0.04933333333333331,24.5,24.3,24.9,24.8,24.2,24.4,24.4,24.4,24.4,24.3
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,24.552249908447266,2.760125175882422,23.710250854492188,25.71845054626465,22.79376983642578,22.882699966430664,28.03635597229004,24.703264236450195,24.675846099853516,22.644996643066406,24.7952938079834,25.56157112121582,32.76,83.77822222222223,45.5,25.0,44.4,40.0,30.0,22.2,33.3,25.0,40.0,22.2,24.59,0.020999999999999942,24.5,24.6,24.9,24.8,24.5,24.5,24.5,24.5,24.6,24.5
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.19298267364501953,2.627843463819267e-07,0.19256591796875,0.1938343048095703,0.19309043884277344,0.1934051513671875,0.19227981567382812,0.1932048797607422,0.1928997039794922,0.1922130584716797,0.19298553466796875,0.19334793090820312,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.59,0.020999999999999942,24.5,24.6,24.9,24.8,24.5,24.5,24.5,24.5,24.6,24.5
