Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
computeCanny,Video1,./data\Video1\Confetti1.png and 9 others,3,57.49671459197998,6.058681758405429,60.99891662597656,56.99586868286133,57.99579620361328,58.99620056152344,57.99388885498047,57.000160217285156,52.99496650695801,53.99608612060547,59.99636650085449,57.9988956451416,56.64,81.22711111111114,62.5,71.4,53.3,52.9,43.8,50.0,57.1,66.7,62.5,46.2,59.12,0.16622222222222274,59.1,59.6,59.6,59.6,59.5,58.8,58.8,58.8,58.7,58.7
detectSift,Video1,./data\Video1\Confetti1.png and 9 others,3,791.8978214263916,120.07860196566374,813.997745513916,779.9968719482422,783.9992046356201,805.9959411621094,785.9995365142822,797.9941368103027,791.9955253601074,785.9964370727539,790.0006771087646,783.0021381378174,64.67,4.488999999999995,68.8,63.2,61.5,66.8,65.5,63.7,63.3,63.2,65.4,65.3,59.09,0.14322222222222247,59.1,59.6,59.6,59.5,59.3,58.8,58.8,58.8,58.7,58.7
detectSurf,Video1,./data\Video1\Confetti1.png and 9 others,3,1223.3166933059692,2784.587642502048,1361.0022068023682,1186.9966983795166,1191.0006999969482,1189.9986267089844,1202.178716659546,1249.9985694885254,1207.998514175415,1189.0003681182861,1230.9961318969727,1223.9964008331299,97.06,13.631555555555567,86.8,97.4,97.4,97.7,99.7,97.8,98.7,97.4,98.7,99.0,58.96,0.1648888888888877,59.5,59.5,59.4,59.3,58.7,58.6,58.7,58.7,58.6,58.6
goodFeatures,Video1,./data\Video1\Confetti1.png and 9 others,3,89.19847011566162,2.3993692145217613,87.9967212677002,88.00220489501953,88.99760246276855,89.9972915649414,92.99898147583008,87.9981517791748,87.99958229064941,88.99641036987305,89.00022506713867,89.99752998352051,35.28,39.27733333333334,33.3,35.0,42.1,29.2,50.0,31.6,30.0,33.3,33.3,35.0,59.09,0.17655555555555627,59.6,59.6,59.6,59.5,58.8,58.8,58.8,58.8,58.7,58.7
houghLine,Video1,./data\Video1\Confetti1.png and 9 others,3,70.1019287109375,0.5433692952768373,69.99564170837402,69.99635696411133,70.00231742858887,71.00105285644531,70.04046440124512,68.99595260620117,69.99635696411133,69.0000057220459,70.99366188049316,70.99747657775879,37.72,48.77511111111111,42.1,38.9,28.6,27.8,40.0,31.2,47.1,43.8,44.4,33.3,59.07,0.19122222222222213,59.6,59.6,59.6,59.5,58.8,58.8,58.7,58.7,58.7,58.7
measureMemoryUsage,Video2,./data\Video2\Gear1.png and 9 others,3,12.796998023986816,0.17773468306990658,13.000011444091797,12.995481491088867,11.997699737548828,11.99650764465332,12.99595832824707,12.99595832824707,12.99595832824707,13.000965118408203,12.995243072509766,12.996196746826172,36.66,836.4693333333333,33.3,50.0,25.0,50.0,50.0,100.0,25.0,0.0,0.0,33.3,58.75,0.002777777777777462,58.7,58.8,58.7,58.7,58.7,58.8,58.8,58.7,58.8,58.8
resize,Video2,./data\Video2\Gear1.png and 9 others,3,0.8799562454223633,0.001068210530219302,0.8799839019775391,0.8399486541748047,0.8799934387207031,0.8799648284912109,0.9199619293212891,0.8399295806884766,0.9198951721191406,0.8799266815185547,0.9200763702392578,0.8398818969726562,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.74,0.0026666666666663634,58.7,58.7,58.7,58.7,58.7,58.8,58.8,58.7,58.8,58.8
rotate,Video2,./data\Video2\Gear1.png and 9 others,3,0.7039775848388672,0.00327047182913197,0.6399822235107422,0.7599258422851562,0.6801319122314453,0.6399345397949219,0.7999229431152344,0.7199382781982422,0.7200145721435547,0.6399250030517578,0.6799697875976562,0.7600307464599609,30.33,133.06455555555556,25.0,25.0,20.0,33.3,16.7,25.0,25.0,50.0,50.0,33.3,58.74,0.0026666666666663634,58.7,58.7,58.7,58.7,58.7,58.8,58.8,58.7,58.8,58.8
mirror,Video2,./data\Video2\Gear1.png and 9 others,3,0.34399986267089844,0.001495283848069246,0.3199005126953125,0.28011322021484375,0.3598785400390625,0.31983375549316406,0.3599834442138672,0.4001903533935547,0.3600883483886719,0.39999961853027344,0.3199195861816406,0.32009124755859375,25.83,562.4445555555556,50.0,50.0,33.3,0.0,50.0,25.0,50.0,0.0,0.0,0.0,58.74,0.0026666666666663634,58.7,58.7,58.7,58.7,58.7,58.8,58.8,58.7,58.8,58.8
contour,Video2,./data\Video2\Gear1.png and 9 others,3,2.307978630065918,0.012455411089023174,2.239980697631836,2.3999595642089844,2.1999740600585938,2.1999549865722656,2.3598766326904297,2.4799346923828125,2.4799537658691406,2.239990234375,2.239999771118164,2.240161895751953,80.55,159.68944444444446,75.0,81.2,62.5,100.0,100.0,88.9,81.2,66.7,75.0,75.0,58.71,0.0009999999999998864,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.8
