Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,61.8274450302124,31.997502730342198,74.53393936157227,58.80475044250488,58.54320526123047,55.487632751464844,59.642791748046875,61.658620834350586,58.93850326538086,61.93423271179199,68.85790824890137,59.87286567687988,39.94,8.83377777777778,37.0,40.0,42.1,42.1,45.5,40.9,40.9,38.1,36.0,36.8,33.91,16.032111111111107,24.1,30.2,33.9,34.7,38.0,35.2,35.1,35.8,35.3,36.8
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,3.1850576400756836,1.7471478921985788,4.257917404174805,1.6927719116210938,1.7087459564208984,1.6226768493652344,1.6376972198486328,4.370689392089844,4.55021858215332,3.871440887451172,3.9517879486083984,4.1866302490234375,88.92,160.2484444444444,85.7,100.0,100.0,100.0,100.0,71.4,100.0,85.7,75.0,71.4,33.93,15.075666666666665,24.6,30.0,33.9,34.7,38.0,35.2,35.1,35.8,35.3,36.7
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,2.1282196044921875,0.43017233919171205,1.7805099487304688,1.800537109375,1.7099380493164062,1.6865730285644531,1.9812583923339844,3.8690567016601562,1.7852783203125,2.0623207092285156,2.1657943725585938,2.440929412841797,27.8,21.77333333333333,33.3,16.7,28.6,33.3,28.6,26.7,28.6,28.6,28.6,25.0,33.93,15.075666666666665,24.6,30.0,33.9,34.7,38.0,35.2,35.1,35.8,35.3,36.7
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.8654356002807617,0.0024269038729269393,0.8947849273681641,0.8420944213867188,0.8566379547119141,0.8304119110107422,0.8304119110107422,0.8599758148193359,0.8480548858642578,0.8339881896972656,0.8637905120849609,0.9942054748535156,23.31,258.741,0.0,33.3,33.3,33.3,33.3,0.0,33.3,33.3,0.0,33.3,33.93,15.075666666666665,24.6,30.0,33.9,34.7,38.0,35.2,35.1,35.8,35.3,36.7
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,4.5821428298950195,0.05250533692762676,4.927873611450195,4.323244094848633,4.463672637939453,4.55164909362793,4.594326019287109,4.5528411865234375,4.338979721069336,4.451751708984375,4.5948028564453125,5.022287368774414,38.33,435.2223333333333,0.0,50.0,50.0,0.0,50.0,33.3,50.0,50.0,50.0,50.0,33.93,15.075666666666665,24.6,30.0,33.9,34.7,38.0,35.2,35.1,35.8,35.3,36.7
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,4.004931449890137,22.3297773730893,3.4384727478027344,2.420663833618164,2.359151840209961,2.3660659790039062,17.421245574951172,2.4268627166748047,2.3565292358398438,2.388477325439453,2.4111270904541016,2.4607181549072266,18.75,598.9583333333334,0.0,0.0,50.0,0.0,37.5,0.0,50.0,50.0,0.0,0.0,33.4,12.571111111111115,24.9,30.0,33.9,34.7,32.4,35.2,35.1,35.8,35.3,36.7
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,65.49909114837646,11.970099654945443,67.69371032714844,62.80636787414551,62.58559226989746,68.66812705993652,63.2481575012207,62.69407272338867,63.536882400512695,69.05746459960938,62.831878662109375,71.8686580657959,29.7,3.0400000000000023,26.9,30.8,32.0,29.6,28.0,28.0,29.2,29.6,30.8,32.1,32.6,8.682222222222217,25.5,30.0,33.9,32.2,33.1,35.3,32.8,33.5,35.4,34.3
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.7287263870239258,0.00801328307413011,0.7112026214599609,0.6859302520751953,0.8494853973388672,0.6687641143798828,0.6830692291259766,0.6780624389648438,0.6966590881347656,0.6413459777832031,0.7488727569580078,0.9238719940185547,95.0,250.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,32.6,8.682222222222217,25.5,30.0,33.9,32.2,33.1,35.3,32.8,33.5,35.4,34.3
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,3.402113914489746,0.0015443756890615784,3.421306610107422,3.3566951751708984,3.403902053833008,3.4301280975341797,3.335714340209961,3.3609867095947266,3.3996105194091797,3.458261489868164,3.4360885620117188,3.418445587158203,10.0,444.44444444444446,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,8.682222222222217,25.5,30.0,33.9,32.2,33.1,35.3,32.8,33.5,35.4,34.3
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,4.552197456359863,0.045453312067264856,4.383325576782227,4.731655120849609,4.55021858215332,4.783868789672852,4.132270812988281,4.6138763427734375,4.363536834716797,4.539012908935547,4.594564437866211,4.829645156860352,11.66,373.136,0.0,50.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,32.6,8.682222222222217,25.5,30.0,33.9,32.2,33.1,35.3,32.8,33.5,35.4,34.3
